toco,fhr
54.5,135.5
54.0,137.25
54.0,137.25
54.5,138.0
54.0,138.0
54.5,138.25
54.5,138.25
54.5,138.5
56.5,139.75
57.0,139.75
56.0,140.75
56.0,140.75
56.5,140.75
57.0,135.0
57.0,135.0
57.5,135.5
58.0,135.5
56.5,137.0
55.5,137.0
55.0,138.25
55.0,139.25
54.5,139.25
54.5,140.0
54.0,140.0
53.5,140.25
53.5,140.25
53.0,138.25
53.0,136.5
52.5,136.5
52.5,136.75
52.5,136.75
52.5,137.5
52.5,137.5
52.5,138.5
54.5,138.5
53.0,138.5
52.5,140.5
52.5,140.5
52.5,140.0
53.0,139.25
53.0,139.25
53.0,139.25
52.5,139.25
52.0,138.5
52.0,138.5
51.5,138.5
51.5,137.25
51.5,137.25
51.5,137.25
51.0,137.25
51.0,137.25
51.0,138.0
51.0,138.0
51.5,138.0
51.0,138.0
51.0,138.0
51.0,138.0
51.0,136.0
51.0,136.0
52.5,136.75
53.5,137.5
52.5,137.5
52.5,138.5
52.0,138.5
52.5,139.75
53.0,140.25
53.0,140.25
53.0,139.75
53.0,139.75
52.0,138.0
52.0,138.0
52.0,138.0
52.0,137.0
52.0,137.0
51.5,138.25
51.5,138.25
52.0,138.25
51.5,138.25
52.0,138.25
51.5,133.75
51.5,133.5
52.5,133.5
52.0,132.75
51.0,132.75
51.0,132.0
51.0,132.0
51.0,132.25
51.0,132.5
52.0,132.5
53.0,132.5
51.5,132.5
52.0,136.25
53.0,136.25
53.0,138.25
53.5,139.75
53.5,139.75
53.5,141.25
53.5,141.25
53.5,146.0
53.5,146.0
53.5,146.75
54.0,146.75
54.0,148.25
53.5,148.75
53.0,148.75
53.0,147.0
53.0,147.0
53.0,147.0
54.0,144.5
54.0,144.5
53.5,143.5
53.5,143.5
53.5,141.75
53.0,140.25
53.0,140.25
51.0,138.75
50.0,138.75
50.0,138.75
50.0,135.25
50.5,135.25
51.0,134.75
50.0,134.75
48.5,134.5
48.0,134.5
48.0,134.75
48.0,134.75
48.0,136.25
48.0,136.25
48.0,137.0
48.0,137.25
48.0,137.25
47.5,136.5
47.5,136.5
47.0,135.25
47.0,135.25
47.0,134.0
47.5,134.5
49.5,134.5
48.5,135.25
47.5,135.25
47.0,136.5
47.5,136.5
48.0,138.25
50.0,140.5
50.0,140.5
50.0,141.25
49.5,141.25
50.0,141.25
50.5,143.75
51.0,143.75
51.0,145.25
52.0,145.25
53.5,145.25
53.0,145.25
53.0,145.25
49.5,144.75
47.5,144.75
51.0,145.0
51.5,145.0
48.5,147.25
48.0,146.0
47.5,146.0
47.0,144.25
46.5,144.25
48.0,143.5
47.5,143.5
47.0,142.0
47.5,138.75
47.0,138.75
47.5,136.25
48.0,136.25
48.0,136.25
48.0,137.25
48.0,137.25
48.0,137.25
48.0,137.75
48.0,137.75
48.0,138.25
48.0,138.25
48.0,138.25
48.0,133.25
48.0,133.25
48.0,133.25
48.0,133.25
48.0,133.75
48.5,133.75
48.0,133.75
48.5,133.75
49.5,139.25
49.5,139.25
49.0,139.25
49.0,137.5
48.0,137.5
48.5,137.0
49.0,137.0
49.0,135.75
49.0,135.75
49.0,133.75
48.5,134.75
48.0,134.75
48.5,134.75
48.0,134.75
49.0,138.5
51.0,138.5
51.5,139.5
52.0,139.5
51.5,139.5
51.0,139.5
51.5,139.5
52.5,139.5
53.0,140.25
52.5,140.25
51.5,137.5
51.0,137.5
50.0,136.5
50.0,136.5
50.0,136.5
49.0,132.0
48.5,132.0
48.0,132.25
47.5,132.25
47.5,131.0
46.5,131.0
47.0,132.25
48.0,132.25
49.0,133.25
50.5,133.25
49.5,133.25
49.5,136.25
51.5,136.25
54.5,137.5
51.5,137.5
48.5,136.75
48.5,136.75
49.0,136.75
49.5,136.5
50.0,136.5
50.5,136.5
50.0,136.5
49.5,138.0
49.5,136.0
51.5,136.0
51.5,135.0
51.0,135.0
51.5,136.0
51.0,136.0
51.0,136.25
51.0,136.25
50.5,136.25
51.5,136.5
52.0,136.5
51.0,136.5
50.5,136.5
50.0,136.5
49.5,136.5
49.5,136.5
51.5,0.0
60.0,0.0
68.0,0.0
63.5,0.0
59.0,0.0
59.0,0.0
59.0,0.0
61.0,145.0
63.0,145.0
63.5,145.0
64.0,145.75
62.5,145.75
59.0,149.0
57.0,149.0
57.0,149.75
56.0,149.75
55.5,149.75
55.0,149.75
54.0,149.75
54.0,149.75
54.0,149.75
53.0,149.75
54.5,149.75
56.0,149.75
62.0,0.0
70.0,0.0
65.0,0.0
62.5,0.0
66.0,0.0
66.5,0.0
68.0,0.0
69.5,0.0
67.0,0.0
70.0,0.0
71.5,0.0
67.0,0.0
65.0,0.0
64.0,0.0
66.5,0.0
64.0,0.0
61.0,0.0
59.5,0.0
58.0,0.0
57.0,0.0
56.5,0.0
55.0,0.0
52.0,0.0
54.5,0.0
59.0,0.0
57.5,0.0
53.5,0.0
51.0,0.0
50.0,0.0
51.0,0.0
51.0,0.0
51.0,0.0
51.5,0.0
53.0,0.0
52.0,0.0
